Energy Density,Pressure
1.5627073375765803e-16,7.635180407936457e-38
1.5636971841533482e-16,7.644855989006752e-38
1.5646876577165142e-16,7.654543831328786e-38
1.565678758663236e-16,7.66424395044059e-38
1.566670487390884e-16,7.673956361899515e-38
1.5676628442971183e-16,7.683681081282999e-38
1.568655829779851e-16,7.693418124188224e-38
1.5696494442372083e-16,7.703167506231754e-38
1.5706436880676062e-16,7.712929243050328e-38
1.5716385616697147e-16,7.722703350300494e-38
1.5726340654424156e-16,7.732489843658267e-38
1.5736301997848964e-16,7.74228873882003e-38
1.574626965096545e-16,7.75210005150155e-38
1.5756243617770422e-16,7.76192379743889e-38
1.5766223902263203e-16,7.77175999238806e-38
1.5776210508445273e-16,7.781608652124647e-38
1.578620344032103e-16,7.791469792444616e-38
1.5796202701897415e-16,7.801343429163949e-38
1.580620829718351e-16,7.811229578118284e-38
1.581622023019133e-16,7.821128255163714e-38
1.5826238504935427e-16,7.831039476176426e-38
1.5836263125432517e-16,7.840963257052339e-38
1.584629409570224e-16,7.8508996137079e-38
1.5856331419766774e-16,7.860848562079728e-38
1.586637510165048e-16,7.870810118124252e-38
1.5876425145380768e-16,7.880784297818636e-38
1.5886481554987084e-16,7.890771117159771e-38
1.5896544334501814e-16,7.900770592165216e-38
1.5906613487959906e-16,7.910782738872819e-38
1.591668901939847e-16,7.92080757334037e-38
1.5926770932857558e-16,7.930845111646393e-38
1.5936859232379788e-16,7.940895369889789e-38
1.594695392200994e-16,7.950958364189468e-38
1.595705500579576e-16,7.961034110685162e-38
1.5967162487787545e-16,7.971122625537051e-38
1.5977276372037773e-16,7.981223924925402e-38
1.5987396662601878e-16,7.99133802505138e-38
1.5997523363537862e-16,8.001464942136684e-38
1.6007656478905912e-16,8.011604692423173e-38
1.60177960127693e-16,8.021757292173812e-38
1.6027941969193357e-16,8.03192275767165e-38
1.6038094352246373e-16,8.042101105220768e-38
1.6048253165999225e-16,8.052292351145906e-38
1.6058418414524968e-16,8.062496511792097e-38
1.6068590101899634e-16,8.07271360352548e-38
1.6078768232201828e-16,8.082943642732934e-38
1.6088952809512364e-16,8.093186645821715e-38
1.6099143837915012e-16,8.103442629220257e-38
1.6109341321496147e-16,8.11371160937782e-38
1.611954526434433e-16,8.123993602764107e-38
1.6129755670551106e-16,8.134288625870098e-38
1.6139972544210612e-16,8.144596695207659e-38
1.6150195889419182e-16,8.154917827309189e-38
1.6160425710276273e-16,8.165252038728572e-38
1.6170662010883424e-16,8.17559934604013e-38
1.6180904795345138e-16,8.185959765839592e-38
1.619115406776855e-16,8.196333314743722e-38
1.620140983226298e-16,8.206720009389931e-38
1.6211672092940748e-16,8.217119866437124e-38
1.6221940853916796e-16,8.22753290256531e-38
1.6232216119308255e-16,8.237959134475238e-38
1.624249789323527e-16,8.248398578889222e-38
1.6252786179820596e-16,8.258851252550765e-38
1.6263080983189206e-16,8.269317172224189e-38
1.6273382307469075e-16,8.279796354695459e-38
1.6283690156790798e-16,8.290288816771815e-38
1.6294004535287184e-16,8.300794575281392e-38
1.63043254470942e-16,8.311313647074189e-38
1.6314652896349885e-16,8.321846049021015e-38
1.6324986887195318e-16,8.332391798014465e-38
1.6335327423774188e-16,8.342950910968546e-38
1.6345674510232408e-16,8.353523404818286e-38
1.6356028150718928e-16,8.364109296520583e-38
1.6366388349385316e-16,8.374708603053828e-38
1.637675511038537e-16,8.385321341417509e-38
1.638712843787593e-16,8.395947528633076e-38
1.6397508336016452e-16,8.406587181743542e-38
1.640789480896864e-16,8.417240317813112e-38
1.6418287860897232e-16,8.427906953928022e-38
1.6428687495969599e-16,8.438587107196165e-38
1.6439093718355352e-16,8.449280794746696e-38
1.644950653222729e-16,8.459988033731035e-38
1.6459925941760294e-16,8.470708841321777e-38
1.6470351951132315e-16,8.481443234713696e-38
1.6480784564523944e-16,8.49219123112336e-38
1.6491223786118016e-16,8.502952847788734e-38
1.650166962010041e-16,8.513728101970041e-38
1.6512122070659675e-16,8.524517010949389e-38
1.6522581141986598e-16,8.535319592030357e-38
1.6533046838275015e-16,8.546135862538872e-38
1.6543519163721443e-16,8.556965839822822e-38
1.6553998122524626e-16,8.567809541251657e-38
1.6564483718886392e-16,8.578666984217254e-38
1.657497595701123e-16,8.589538186133539e-38
1.6585474841105867e-16,8.600423164436073e-38
1.6595980375380253e-16,8.611321936583082e-38
1.6606492564046461e-16,8.622234520054353e-38
1.661701141131964e-16,8.633160932352241e-38
1.6627536921417597e-16,8.644101191001286e-38
1.6638069098560422e-16,8.655055313547813e-38
1.6648607946971265e-16,8.666023317560798e-38
1.6659153470875973e-16,8.67700522063149e-38
1.6669705674502638e-16,8.688001040373001e-38
1.668026456208246e-16,8.69901079442119e-38
1.6690830137849304e-16,8.710034500434265e-38
1.6701402406039317e-16,8.721072176092382e-38
1.6711981370891736e-16,8.732123839098531e-38
1.672256703664848e-16,8.743189507178139e-38
1.6733159407553751e-16,8.75426919807866e-38
1.6743758487854977e-16,8.765362929570616e-38
1.6754364281801736e-16,8.776470719446471e-38
1.6764976793646714e-16,8.787592585521674e-38
1.6775596027645276e-16,8.79872854563424e-38
1.6786221988055083e-16,8.809878617644367e-38
1.6796854679136897e-16,8.821042819435312e-38
1.680749410515419e-16,8.832221168912996e-38
1.6818140270372707e-16,8.8434136840056e-38
1.682879317906132e-16,8.854620382664457e-38
1.6839452835491596e-16,8.865841282863645e-38
1.6850119243937405e-16,8.87707640259959e-38
1.686079240867573e-16,8.888325759891958e-38
1.6871472333986258e-16,8.899589372783244e-38
1.6882159024150987e-16,8.910867259338379e-38
1.6892852483455167e-16,8.922159437645764e-38
1.690355271618622e-16,8.933465925816143e-38
1.691425972663469e-16,8.944786741983644e-38
1.6924973519093835e-16,8.956121904305375e-38
1.693569409785924e-16,8.967471430961022e-38
1.6946421467229597e-16,8.978835340153741e-38
1.6957155631506338e-16,8.990213650109756e-38
1.6967896594993202e-16,9.001606379077954e-38
1.6978644361997067e-16,9.013013545330779e-38
1.6989398936827536e-16,9.024435167163838e-38
1.700016032379654e-16,9.035871262895481e-38
1.701092852721914e-16,9.047321850867706e-38
1.702170355141314e-16,9.058786949445764e-38
1.7032485400698654e-16,9.070266577017731e-38
1.7043274079399103e-16,9.081760751995578e-38
1.7054069591840077e-16,9.093269492814015e-38
1.7064871942350324e-16,9.10479281793156e-38
1.7075681135261344e-16,9.116330745830119e-38
1.7086497174906957e-16,9.127883295014578e-38
1.7097320065624142e-16,9.139450484013713e-38
1.710814981175263e-16,9.151032331379788e-38
1.711898641763448e-16,9.162628855688121e-38
1.7129829887614924e-16,9.174240075538026e-38
1.7140680226041939e-16,9.185866009552379e-38
1.7151537437265848e-16,9.197506676377213e-38
1.7162401525640137e-16,9.209162094682636e-38
1.7173272495521056e-16,9.220832283162415e-38
1.7184150351267196e-16,9.232517260533557e-38
1.7195035097240465e-16,9.24421704553739e-38
1.7205926737804973e-16,9.25593165693839e-38
1.7216825277328017e-16,9.26766111352526e-38
1.7227730720179665e-16,9.279405434110518e-38
1.7238643070732323e-16,9.291164637530065e-38
1.7249562333361596e-16,9.302938742644128e-38
1.7260488512445848e-16,9.314727768336833e-38
1.7271421612365811e-16,9.32653173351578e-38
1.7282361637505403e-16,9.33835065711299e-38
1.7293308592251324e-16,9.350184558084468e-38
1.7304262480992623e-16,9.362033455409791e-38
1.7315223308121564e-16,9.373897368093044e-38
1.732619107803318e-16,9.385776315162389e-38
1.7337165795124872e-16,9.397670315669647e-38
1.7348147463797392e-16,9.409579388691395e-38
1.7359136088453707e-16,9.421503553327768e-38
1.7370131673500012e-16,9.433442828703573e-38
1.738113422334527e-16,9.445397233967843e-38
1.7392143742400833e-16,9.45736678829342e-38
1.7403160235081264e-16,9.46935151087791e-38
1.7414183705803922e-16,9.481351420943238e-38
1.742521415898854e-16,9.493366537735232e-38
1.7436251599058073e-16,9.505396880524565e-38
1.7447296030438278e-16,9.517442468606339e-38
1.74583474575573e-16,9.529503321299635e-38
1.7469405884846492e-16,9.541579457948486e-38
1.7480471316740043e-16,9.553670897921438e-38
1.74915437576745e-16,9.565777660611114e-38
1.7502623212089807e-16,9.577899765435336e-38
1.7513709684428136e-16,9.590037231835908e-38
1.7524803179134904e-16,9.602190079279738e-38
1.7535903700658353e-16,9.614358327258408e-38
1.7547011253449104e-16,9.626541995287726e-38
1.755812584196103e-16,9.638741102908702e-38
1.7569247470650824e-16,9.650955669687117e-38
1.7580376143977578e-16,9.663185715213062e-38
1.759151186640363e-16,9.675431259101937e-38
1.7602654642394147e-16,9.687692320993992e-38
1.7613804476416697e-16,9.699968920553895e-38
1.7624961372942103e-16,9.712261077471704e-38
1.763612533644403e-16,9.72456881146244e-38
1.7647296371398534e-16,9.73689214226562e-38
1.7658474482285087e-16,9.749231089646419e-38
1.7669659673585417e-16,9.761585673394413e-38
1.768085194978454e-16,9.773955913324747e-38
1.769205131537029e-16,9.786341829277667e-38
1.770325777483293e-16,9.798743441118084e-38
1.7714471332665986e-16,9.811160768736565e-38
1.7725691993365838e-16,9.823593832048883e-38
1.7736919761431278e-16,9.83604265099556e-38
1.7748154641364386e-16,9.848507245542883e-38
1.7759396637670084e-16,9.860987635682428e-38
1.7770645754855725e-16,9.873483841430631e-38
1.7781901997431942e-16,9.885995882829772e-38
1.779316536991223e-16,9.898523779947529e-38
1.780443587681251e-16,9.911067552876531e-38
1.781571352265213e-16,9.923627221735512e-38
1.7826998311952746e-16,9.936202806668055e-38
1.7838290249239284e-16,9.948794327843751e-38
1.784958933903956e-16,9.961401805457761e-38
1.7860895585883807e-16,9.97402525973034e-38
1.787220899430557e-16,9.986664710907863e-38
1.7883529568841273e-16,9.999320179262357e-38
1.7894857314029756e-16,1.0011991685091048e-37
1.790619223441319e-16,1.002467924871738e-37
1.7917534334536616e-16,1.0037382890490545e-37
1.792888361894752e-16,1.0050102630785035e-37
1.7940240092196696e-16,1.006283849000165e-37
1.7951603758837836e-16,1.0075590488567048e-37
1.7962974623427065e-16,1.008835864693327e-37
1.7974352690523984e-16,1.0101142985578944e-37
1.7985737964690498e-16,1.0113943525007983e-37
1.7997130450491837e-16,1.0126760285750776e-37
1.8008530152496128e-16,1.0139593288363738e-37
1.8019937075273947e-16,1.015244255342883e-37
1.8031351223399206e-16,1.0165308101554597e-37
1.804277260144872e-16,1.0178189953375694e-37
1.8054201214001748e-16,1.019108812955243e-37
1.806563706564091e-16,1.0204002650771799e-37
1.8077080160951718e-16,1.0216933537747003e-37
1.8088530504522143e-16,1.0229880811216996e-37
