e,p
1.8478635681469084e-07,7.774365209836229e-11
1.872134336158432e-07,7.945171497703295e-11
1.8966168377254385e-07,8.118966141145938e-11
1.9213119953453935e-07,8.295788161054968e-11
1.9462207315658636e-07,8.475676918278678e-11
1.9713439689860042e-07,8.658672108321378e-11
1.9966826302560637e-07,8.844813769958293e-11
2.0222376380775332e-07,9.03414228324751e-11
2.048009915203742e-07,9.226698371518034e-11
2.074000384439908e-07,9.422523104683211e-11
2.1002099686432858e-07,9.62165789592731e-11
2.1266395907233665e-07,9.824144507669678e-11
2.1532901736423753e-07,1.0030025051564752e-10
2.1801626404150196e-07,1.0239341992478158e-10
2.2072579141091905e-07,1.045213814185987e-10
2.2345769178459072e-07,1.066845666900985e-10
2.2621205747995199e-07,1.0888341097764626e-10
2.2898898081980065e-07,1.1111835306497296e-10
2.3178855413234192e-07,1.1338983530768258e-10
2.3461086975114388e-07,1.1569830370614757e-10
2.374560200152318e-07,1.180442078193597e-10
2.4032409726909317e-07,1.204280008179449e-10
2.432151938626378e-07,1.228501395769393e-10
2.461294021513222e-07,1.2531108453662513e-10
2.490668144960801e-07,1.2781129985494847e-10
2.520275232634067e-07,1.3035125335450434e-10
2.55011620825319e-07,1.3293141657555161e-10
2.580191995594702e-07,1.3555226470311756e-10
2.610503518490702e-07,1.382142766995349e-10
2.6410517008294994e-07,1.4091793528456127e-10
2.6718374665562126e-07,1.4366372686911075e-10
2.702861739672373e-07,1.4645214164140284e-10
2.734125444236368e-07,1.4928367361335044e-10
2.7656295043639915e-07,1.521588205410377e-10
2.797374844228044e-07,1.5507808400424215e-10
2.829362388058981e-07,1.5804196940643483e-10
2.86159306014501e-07,1.6105098602116803e-10
2.8940677848322394e-07,1.6410564692580703e-10
2.9267874865252296e-07,1.67206469087679e-10
2.9597530896865894e-07,1.703539733508194e-10
2.9929655188378753e-07,1.73548684429345e-10
3.026425698559389e-07,1.767911310068568e-10
3.0601345534902804e-07,1.8008184564366394e-10
3.09409300832929e-07,1.8342136483642556e-10
3.1283019878348007e-07,1.868102290314044e-10
3.162762416824141e-07,1.90248982703989e-10
3.197475220175525e-07,1.93738174212903e-10
3.232441322826656e-07,1.9727835599901066e-10
3.2676616497759266e-07,2.0087008445277987e-10
3.3031371260821134e-07,2.0451392000705804e-10
3.3388686768650284e-07,2.0821042713707212e-10
3.374857227305317e-07,2.11960174386936e-10
3.4111037026451556e-07,2.1576373432326253e-10
3.4476090281875545e-07,2.1962168366107376e-10
3.48437412929795e-07,2.235346031378906e-10
3.521399931403207e-07,2.2750307763964326e-10
3.5586873599923697e-07,2.315276961807905e-10
3.596237340616955e-07,2.356090518844391e-10
3.6340507988909055e-07,2.397477420618662e-10
3.672128660490887e-07,2.439443681595042e-10
3.710471851156686e-07,2.4819953585171704e-10
3.749081296691159e-07,2.525138549413973e-10
3.7879579229605333e-07,2.568879395123836e-10
3.8271026558949515e-07,2.613224078168044e-10
3.8665164214880755e-07,2.6581788236785365e-10
3.9062001457977794e-07,2.7037498993316424e-10
