e,p
1.0,2.2076071710271576e-27
1.0,2.240382662922266e-27
1.0,2.2736447598995758e-27
1.0,2.3074006863970293e-27
1.0,2.341657774110938e-27
1.0,2.3764234635885354e-27
1.0,2.411705305843991e-27
1.0,2.447510963998407e-27
1.0,2.4838482149443686e-27
1.0,2.5207249510349047e-27
1.0,2.558149181797845e-27
1.0,2.5961290356753063e-27
1.0,2.634672761789311e-27
1.0,2.6737887317334165e-27
1.0,2.7134854413909306e-27
1.0,2.753771512780354e-27
1.0,2.7946556959278786e-27
1.0,2.8361468707680262e-27
1.0,2.8782540490722823e-27
1.0,2.920986376406355e-27
1.0,2.9643531341167336e-27
1.0,3.0083637413463803e-27
1.0,3.0530277570807128e-27
1.0,3.0983548822237163e-27
1.0,3.1443549617048805e-27
1.0,3.1910379866176647e-27
1.0,3.2384140963893366e-27
1.0,3.286493580983431e-27
1.0,3.335286883134497e-27
1.0,3.3848046006164136e-27
1.0,3.435057488544121e-27
1.0,3.486056461709544e-27
1.0,3.537812596952312e-27
1.0,3.590337135565678e-27
1.0,3.643641485738035e-27
1.0,3.697737225030663e-27
1.0,3.7526361028925145e-27
1.0,3.808350043212077e-27
1.0,3.864891146907118e-27
1.0,3.922271694553189e-27
1.0,3.980504149050678e-27
1.0,4.039601158331978e-27
1.0,4.099575558108322e-27
1.0,4.160440374657895e-27
1.0,4.2222088276550084e-27
1.0,4.284894333041275e-27
1.0,4.348510505939757e-27
1.0,4.4130711636118506e-27
1.0,4.4785903284586455e-27
1.0,4.5450822310662676e-27
1.0,4.6125613132969705e-27
1.0,4.681042231425768e-27
1.0,4.7505398593236175e-27
1.0,4.821069291688256e-27
1.0,4.892645847322417e-27
1.0,4.965285072461343e-27
1.0,5.039002744149078e-27
1.0,5.1138148736654684e-27
1.0,5.1897377100036575e-27
1.0,5.2667877433991944e-27
1.0,5.344981708911963e-27
1.0,5.42433659006065e-27
1.0,5.504869622511868e-27
1.0,5.586598297823344e-27
1.0,5.6695403672433484e-27
1.0,5.7537138455660866e-27
1.0,5.839137015044322e-27
1.0,5.925828429360559e-27
1.0,6.0138069176564796e-27
1.0,6.103091588622957e-27
1.0,6.1937018346500314e-27
1.0,6.2856573360392236e-27
1.0,6.3789780652778984e-27
1.0,6.473684291377081e-27
1.0,6.56979658427419e-27
1.0,6.667335819300357e-27
1.0,6.766323181714917e-27
1.0,6.866780171306354e-27
1.0,6.968728607062386e-27
1.0,7.072190631908822e-27
1.0,7.177188717518778e-27
1.0,7.283745669193857e-27
1.0,7.391884630816947e-27
1.0,7.501629089879468e-27
1.0,7.613002882582324e-27
1.0,7.72603019901348e-27
1.0,7.840735588401804e-27
1.0,7.957143964448906e-27
1.0,8.075280610740766e-27
1.0,8.195171186238745e-27
1.0,8.316841730853176e-27
1.0,8.440318671098615e-27
1.0,8.565628825834097e-27
1.0,8.692799412087904e-27
1.0,8.821858050968827e-27
1.0,8.95283277366589e-27
1.0,9.085752027536068e-27
1.0,9.220644682283569e-27
1.0,9.357540036229658e-27
1.0,9.496467822676706e-27
1.0,9.63745821636594e-27
1.0,9.780541840031108e-27
1.0,9.925749771050093e-27
1.0,1.0073113548194629e-26
1.0,1.0222665178480261e-26
1.0,1.0374437144118334e-26
1.0,1.0528462409571229e-26
1.0,1.0684774428711982e-26
1.0,1.0843407152090106e-26
1.0,1.1004395034306093e-26
