e,p
1.0131019215468802e-14,1.3202524076032926e-17
1.0206441178974822e-14,1.3366374615000139e-17
1.0282237277162386e-14,1.3531846764588963e-17
1.0358408444722149e-14,1.3698952512045151e-17
1.0434955616433738e-14,1.3867703903195826e-17
1.0511879727165839e-14,1.4038113042648283e-17
1.0589181711876009e-14,1.421019209392253e-17
1.0666862505610964e-14,1.4383953279650094e-17
1.0744923043507087e-14,1.4559408882104165e-17
1.0823364260790817e-14,1.4736571241940496e-17
1.0902187092778354e-14,1.491545275965531e-17
1.098139247487556e-14,1.5096065896115458e-17
1.1060981342579943e-14,1.527842317063661e-17
1.1140954631478381e-14,1.5462537163435208e-17
1.1221313277249193e-14,1.5648420514634437e-17
1.1302058215661563e-14,1.5836085923932872e-17
1.1383190382576018e-14,1.6025546151863592e-17
1.1464710713944538e-14,1.6216814019661635e-17
1.1546620145810853e-14,1.6409902408071167e-17
1.162891961431034e-14,1.6604824259731153e-17
1.1711610055670722e-14,1.6801592577717436e-17
1.1794692406212069e-14,1.7000220425675294e-17
1.1878167602346796e-14,1.7200720929409868e-17
1.1962036580580256e-14,1.7403107274367965e-17
1.2046300277510548e-14,1.7607392709879244e-17
1.2130959629829308e-14,1.7813590544119802e-17
1.2216015574321416e-14,1.802171414888352e-17
1.230146904786528e-14,1.823177695693131e-17
1.2387320987432756e-14,1.844379246331649e-17
1.2473572330090825e-14,1.8657774225119708e-17
1.2560224012999605e-14,1.8873735861448944e-17
1.2647276973414155e-14,1.9091691054632354e-17
1.2734732148684347e-14,1.9311653548230188e-17
1.2822590476254602e-14,1.9533637149685554e-17
1.2910852893664756e-14,1.975765572873396e-17
1.2999520338549877e-14,1.9983723217535872e-17
1.3088593748640564e-14,2.0211853612267125e-17
1.317807406176303e-14,2.044206097205866e-17
1.3267962215839521e-14,2.067435941886396e-17
1.33582591488885e-14,2.0908763138916974e-17
1.3448965799025054e-14,2.1145286381539284e-17
1.3540083104460386e-14,2.1383943460200388e-17
1.3631612003502719e-14,2.162474875185503e-17
1.3723553434557795e-14,2.1867716697605877e-17
1.381590833612767e-14,2.2112861803233662e-17
1.3908677646812613e-14,2.236019863853451e-17
1.400186230531031e-14,2.2609741837054868e-17
1.4095463250416153e-14,2.286150609887476e-17
1.4189481421023953e-14,2.3115506186764234e-17
1.428391775612572e-14,2.3371756929099165e-17
1.437877319481188e-14,2.363027321946365e-17
1.447404867627157e-14,2.3891070016782557e-17
1.4569745139793312e-14,2.4154162344923882e-17
1.4665863524764056e-14,2.4419565293228916e-17
1.4762404770670844e-14,2.4687294016512266e-17
1.4859369817099916e-14,2.495736373545942e-17
1.495675960373732e-14,2.522978973649425e-17
1.5054575070369403e-14,2.550458737257421e-17
1.51528171568824e-14,2.5781772061732443e-17
1.5251486803263254e-14,2.6061359288933297e-17
1.5350584949599397e-14,2.63433646056747e-17
1.545011253607886e-14,2.6627803629988186e-17
1.5550070502991557e-14,2.6914692045643644e-17
1.56504597907283e-14,2.720404560426993e-17
1.57512813397809e-14,2.7495880124162028e-17
1.5852536090743438e-14,2.779021149067866e-17
1.5954224984311993e-14,2.8087055655977216e-17
1.6056348961284632e-14,2.838642864033912e-17
1.6158908962561603e-14,2.868834653124207e-17
1.6261905929145844e-14,2.899282548309496e-17
1.6365340802143162e-14,2.92998817193585e-17
1.646921452276256e-14,2.960953153029205e-17
1.657352803231591e-14,2.9921791274676604e-17
1.6678282272218674e-14,3.023667737941722e-17
1.6783478183989475e-14,3.0554206340205646e-17
1.6889116709251832e-14,3.087439472019501e-17
1.6995198789732123e-14,3.119725915185529e-17
1.7101725367262203e-14,3.1522816336045573e-17
1.7208697383777105e-14,3.1851083043074365e-17
1.7316115781317828e-14,3.218207611137419e-17
1.7423981502029436e-14,3.251581244909207e-17
1.753229548816248e-14,3.2852309033559335e-17
1.764105868207255e-14,3.3191582911556754e-17
1.7750272026221132e-14,3.353365119931447e-17
1.7859936463175548e-14,3.387853108251204e-17
1.7970052935608406e-14,3.422623981733875e-17
1.8080622386299264e-14,3.457679472930071e-17
1.819164575813395e-14,3.4930213214148684e-17
1.830312399410463e-14,3.528651273774553e-17
1.8415058037309958e-14,3.564571083712648e-17
1.8527448830956523e-14,3.600782511877618e-17
1.8640297318357778e-14,3.637287326021913e-17
1.8753604442934234e-14,3.674087301001966e-17
1.8867371148214645e-14,3.711184218725183e-17
1.8981598377835322e-14,3.748579868242714e-17
1.9096287075540732e-14,3.7862760456964414e-17
1.921143818518388e-14,3.824274554332232e-17
1.9327052650725727e-14,3.8625772046059663e-17
1.9443131416236482e-14,3.901185814157035e-17
1.9559675425895094e-14,3.940102207636037e-17
1.967668562399015e-14,3.9793282170493727e-17
1.979416295491841e-14,4.0188656815471935e-17
1.991210836318753e-14,4.058716447463155e-17
2.0030522793414344e-14,4.098882368407198e-17
2.014940719032541e-14,4.139365305199278e-17
2.0268762498758125e-14,4.1801671259488836e-17
2.0388589663659917e-14,4.221289705935762e-17
2.0508889630088765e-14,4.262734927901493e-17
2.062966334321416e-14,4.3045046816386244e-17
2.0750911748315847e-14,4.346600864467813e-17
2.0872635790785293e-14,4.3890253809197257e-17
2.099483641612489e-14,4.431780142947104e-17
2.1117514569949766e-14,4.474867069686198e-17
2.124067119798608e-14,4.518288087841122e-17
2.1364307246072308e-14,4.562045131365765e-17
2.1488423660159557e-14,4.606140141583076e-17
2.1613021386310857e-14,4.650575067344108e-17
2.1738101370702856e-14,4.695351864776196e-17
2.1863664559624333e-14,4.740472497561287e-17
2.1989711899477677e-14,4.78593893669737e-17
2.21162443367786e-14,4.831753160816572e-17
2.2243262818156436e-14,4.877917155800789e-17
2.2370768290354223e-14,4.9244329151660563e-17
2.249876170022893e-14,4.97130243995651e-17
2.2627243994752133e-14,5.0185277385853443e-17
2.275621612100941e-14,5.066110827086635e-17
2.2885679026201462e-14,5.1140537290225596e-17
2.30156336576432e-14,5.162358475509908e-17
2.3146080962765336e-14,5.21102710522008e-17
2.32770218891135e-14,5.260061664365833e-17
2.3408457384348714e-14,5.309464206833819e-17
2.354038839624792e-14,5.359236794052047e-17
2.3672815872703557e-14,5.409381495095912e-17
2.3805740761724862e-14,5.459900386661689e-17
2.3939164011437173e-14,5.510795553079788e-17
2.4073086570081937e-14,5.562069086394272e-17
2.4207509386018096e-14,5.613723086270083e-17
2.4342433407720677e-14,5.665759660072565e-17
2.4477859583782526e-14,5.718180922880722e-17
2.4613788862914262e-14,5.770988997434192e-17
2.475022219394311e-14,5.82418601425254e-17
2.4887160525814282e-14,5.877774111648507e-17
2.5024604807592084e-14,5.931755435502702e-17
2.5162555988457606e-14,5.986132139700967e-17
2.5301015017711234e-14,6.04090638576328e-17
2.543998284477194e-14,6.096080342963034e-17
2.5579460419177274e-14,6.151656188539096e-17
2.5719448690584375e-14,6.20763610739098e-17
2.5859948608769075e-14,6.264022292357159e-17
2.6000961123626867e-14,6.320816944109054e-17
2.6142487185173246e-14,6.378022271111255e-17
2.6284527743543274e-14,6.435640489807088e-17
2.64270837489922e-14,6.4936738244198e-17
2.6570156151896134e-14,6.552124507164623e-17
2.671374590275078e-14,6.610994778102978e-17
2.685785395217311e-14,6.670286885261763e-17
2.700248125090157e-14,6.730003084620102e-17
2.714762874979467e-14,6.790145640056321e-17
2.7293297399833196e-14,6.850716823467239e-17
2.7439488152119215e-14,6.911718914728404e-17
2.7586201957876542e-14,6.973154201707346e-17
2.773343976845127e-14,7.035024980197313e-17
2.7881202535311356e-14,7.097333554142576e-17
2.8029491210047426e-14,7.160082235479392e-17
2.817830674437266e-14,7.223273344109496e-17
2.8327650090123106e-14,7.286909208125406e-17
2.8477522199258073e-14,7.350992163598371e-17
2.8627924023859724e-14,7.41552455471091e-17
2.8778856516133984e-14,7.480508733783315e-17
2.893032062841084e-14,7.545947061194126e-17
2.9082317313143126e-14,7.611841905486166e-17
2.923484752290893e-14,7.678195643340035e-17
2.9387912210409997e-14,7.745010659560849e-17
2.954151232847263e-14,7.812289347184276e-17
2.9695648830048264e-14,7.88003410735725e-17
2.985032266821291e-14,7.948247349430746e-17
3.0005534796167896e-14,8.016931491039307e-17
3.0161286167239626e-14,8.086088957928739e-17
3.031757773488093e-14,8.155722184128414e-17
3.047441045266929e-14,8.225833611938016e-17
3.063178527430893e-14,8.296425691914283e-17
3.0789703153630015e-14,8.367500882831254e-17
3.0948165044589346e-14,8.439061651773035e-17
3.1107171901269884e-14,8.51111047421333e-17
3.1266724677881793e-14,8.58364983379012e-17
3.14268243287626e-14,8.656682222544241e-17
3.1587471808376165e-14,8.730210140892861e-17
3.1748668071314576e-14,8.804236097536721e-17
3.1910414072297254e-14,8.8787626095794e-17
3.207271076617155e-14,8.953792202487577e-17
3.223555910791315e-14,9.02932741014402e-17
3.239896005262547e-14,9.105370774821096e-17
3.256291455554115e-14,9.181924847167517e-17
3.2727423572020763e-14,9.258992186340866e-17
